Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Intensidad depresión;Total
Mujeres;Total Nacional;09 Cataluña;Leve;351,0
Mujeres;Total Nacional;09 Cataluña;Moderada;82,9
Mujeres;Total Nacional;09 Cataluña;Moderadamente grave;43,3
Mujeres;Total Nacional;09 Cataluña;Grave;24,7
Mujeres;Total Nacional;09 Cataluña;No consta;18,4
Mujeres;Total Nacional;10 Comunitat Valenciana;TOTAL;2.175,5
Mujeres;Total Nacional;10 Comunitat Valenciana;Ninguna;1.728,4
Mujeres;Total Nacional;10 Comunitat Valenciana;Leve;250,7
Mujeres;Total Nacional;10 Comunitat Valenciana;Moderada;79,5
Mujeres;Total Nacional;10 Comunitat Valenciana;Moderadamente grave;62,4
Mujeres;Total Nacional;10 Comunitat Valenciana;Grave;32,6
Mujeres;Total Nacional;10 Comunitat Valenciana;No consta;22,0
Mujeres;Total Nacional;11 Extremadura;TOTAL;457,9
Mujeres;Total Nacional;11 Extremadura;Ninguna;387,3
Mujeres;Total Nacional;11 Extremadura;Leve;50,8
Mujeres;Total Nacional;11 Extremadura;Moderada;7,3
Mujeres;Total Nacional;11 Extremadura;Moderadamente grave;8,7
Mujeres;Total Nacional;11 Extremadura;Grave;2,9
Mujeres;Total Nacional;11 Extremadura;No consta;0,8
Mujeres;Total Nacional;12 Galicia;TOTAL;1.231,2
Mujeres;Total Nacional;12 Galicia;Ninguna;982,1
Mujeres;Total Nacional;12 Galicia;Leve;150,7
Mujeres;Total Nacional;12 Galicia;Moderada;44,7
Mujeres;Total Nacional;12 Galicia;Moderadamente grave;20,5
Mujeres;Total Nacional;12 Galicia;Grave;23,6
Mujeres;Total Nacional;12 Galicia;No consta;9,7
Mujeres;Total Nacional;13 Madrid, Comunidad de;TOTAL;2.971,5
Mujeres;Total Nacional;13 Madrid, Comunidad de;Ninguna;2.441,6
Mujeres;Total Nacional;13 Madrid, Comunidad de;Leve;316,0
Mujeres;Total Nacional;13 Madrid, Comunidad de;Moderada;120,7
Mujeres;Total Nacional;13 Madrid, Comunidad de;Moderadamente grave;53,9
Mujeres;Total Nacional;13 Madrid, Comunidad de;Grave;21,9
Mujeres;Total Nacional;13 Madrid, Comunidad de;No consta;17,5
Mujeres;Total Nacional;14 Murcia, Región de;TOTAL;624,9
Mujeres;Total Nacional;14 Murcia, Región de;Ninguna;501,2
Mujeres;Total Nacional;14 Murcia, Región de;Leve;77,0
Mujeres;Total Nacional;14 Murcia, Región de;Moderada;25,9
Mujeres;Total Nacional;14 Murcia, Región de;Moderadamente grave;11,6
Mujeres;Total Nacional;14 Murcia, Región de;Grave;8,3
Mujeres;Total Nacional;14 Murcia, Región de;No consta;0,9
Mujeres;Total Nacional;15 Navarra, Comunidad Foral de;TOTAL;277,8
Mujeres;Total Nacional;15 Navarra, Comunidad Foral de;Ninguna;240,7
Mujeres;Total Nacional;15 Navarra, Comunidad Foral de;Leve;22,9
Mujeres;Total Nacional;15 Navarra, Comunidad Foral de;Moderada;10,5
Mujeres;Total Nacional;15 Navarra, Comunidad Foral de;Moderadamente grave;0,6
Mujeres;Total Nacional;15 Navarra, Comunidad Foral de;Grave;0,2
Mujeres;Total Nacional;15 Navarra, Comunidad Foral de;No consta;2,9
Mujeres;Total Nacional;16 País Vasco;TOTAL;968,3
Mujeres;Total Nacional;16 País Vasco;Ninguna;761,1
Mujeres;Total Nacional;16 País Vasco;Leve;124,4
Mujeres;Total Nacional;16 País Vasco;Moderada;36,0
Mujeres;Total Nacional;16 País Vasco;Moderadamente grave;26,1
Mujeres;Total Nacional;16 País Vasco;Grave;9,8
Mujeres;Total Nacional;16 País Vasco;No consta;11,0
